trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,4,4,256,0.04292989599556912,0.0,0.5921052631578947,0.575571969014592,0.577776408233699,0.6009615384615384,0.5873180873180873,0.600328947368421,0.5921052631578947
2,2e-05,2,3,384,0.03805698509951765,0.1,0.6118421052631579,0.6116908421736307,0.6118925262930004,0.6116883116883116,0.6117463617463618,0.6119958988380041,0.6118421052631579
3,2e-05,4,4,256,0.022519296894778357,0.1,0.6578947368421053,0.6576576576576576,0.6578947368421053,0.6576576576576576,0.6576576576576576,0.6578947368421053,0.6578947368421053
4,1.5e-05,2,4,384,0.0411380806635415,0.1,0.6644736842105263,0.6632932285106198,0.663817875488356,0.6646586345381527,0.6633749133749134,0.6646057915874022,0.6644736842105263
5,1.5e-05,2,3,256,0.027729239350791742,0.1,0.618421052631579,0.6178255592162303,0.6182225548264627,0.6180555555555556,0.6178101178101179,0.6182383040935673,0.618421052631579
6,1e-05,4,4,256,0.037904387004268694,0.1,0.5789473684210527,0.5777777777777777,0.5783625730994152,0.5783972125435539,0.577962577962578,0.5785805978360535,0.5789473684210527
7,2e-05,2,3,384,0.04465605606610989,0.1,0.5460526315789473,0.4589072898932054,0.46462173852833605,0.5901960784313726,0.5358627858627859,0.5886996904024768,0.5460526315789473
8,2e-05,4,3,256,0.002190188289361439,0.0,0.5921052631578947,0.5833775419982317,0.5849644003908977,0.5952380952380952,0.5887040887040887,0.5949248120300751,0.5921052631578947
9,1.5e-05,2,4,384,0.03723810779539086,0.0,0.618421052631579,0.6141456582633054,0.6152145068553737,0.6200716845878136,0.616077616077616,0.6198358800226372,0.618421052631579
10,2e-05,2,3,384,0.023477790563790398,0.0,0.5394736842105263,0.5381944444444444,0.5375548245614035,0.5419309372797745,0.5412335412335412,0.5424223878936241,0.5394736842105263
