trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted,transcript_col
4,2e-05,8,5,512,0.082276161327083,0.1,0.5222929936305732,0.4391264054956094,0.5179551211441811,0.4623366013071895,0.43117851729364753,0.5196671662295491,0.5222929936305732,Transcript_PFT
3,3e-05,16,4,256,0.04503859378955671,0.1,0.5222929936305732,0.43358573297223607,0.5293103818522912,0.43391896169673955,0.44002342565798536,0.5394036450299721,0.5222929936305732,Transcript_ALL
9,3e-05,8,5,512,0.07447621559078171,0.1,0.5526315789473685,0.4217725165730146,0.5466645309346566,0.4285950701158436,0.4245137046861185,0.5517018964971875,0.5526315789473685,Transcript_SFT
6,1e-05,16,5,256,0.07580877400853739,0.1,0.5064102564102564,0.4004355282649433,0.520266910240414,0.4063066640195883,0.3984090271937202,0.5372583904745907,0.5064102564102564,Transcript_CTD
