trial_id,learning_rate,batch_size,num_train_epochs,max_len,weight_decay,warmup_ratio,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted
1,1e-05,16,4,384,0.08585979199113825,0.0,0.506578947368421,0.2613368283093054,0.38728357591225765,0.28492063492063496,0.3349543177129384,0.39476817042606516,0.506578947368421
2,3e-05,8,3,384,0.0761139701990353,0.2,0.5460526315789473,0.3319327731092437,0.4702749520860976,0.35185185185185186,0.3738579428234601,0.4758771929824562,0.5460526315789473
3,3e-05,16,4,256,0.04503859378955671,0.1,0.5131578947368421,0.31927427399168123,0.45011871896442596,0.32684617435350577,0.353964043619216,0.44374833377765927,0.5131578947368421
4,2e-05,8,5,512,0.082276161327083,0.1,0.5592105263157895,0.35790012429626383,0.5005858856397409,0.35919540229885055,0.3897730621868553,0.4871823956442831,0.5592105263157895
5,3e-05,8,4,256,0.055458478701583484,0.2,0.506578947368421,0.303023278276828,0.4324406350562004,0.3118024691358025,0.34526967285587973,0.4264054580896686,0.506578947368421
6,1e-05,16,5,256,0.07580877400853739,0.1,0.5197368421052632,0.2391812865497076,0.3638273314866113,0.34,0.3390804597701149,0.45763157894736844,0.5197368421052632
7,3e-05,8,3,512,0.08931211213221978,0.2,0.5723684210526315,0.38641975308641974,0.5315302144249513,0.3726797385620915,0.4101090480400826,0.5053095975232198,0.5723684210526315
8,5e-05,16,3,384,0.004380376578722878,0.1,0.5526315789473685,0.3353119796258204,0.47498646704919806,0.35968503937007873,0.37813144709696433,0.4853046000828844,0.5526315789473685
9,3e-05,8,5,512,0.07447621559078171,0.1,0.5723684210526315,0.3744360902255639,0.5200435298773249,0.37142857142857144,0.40274093722369586,0.5027255639097744,0.5723684210526315
10,5e-05,8,3,512,0.046955581127580796,0.1,0.625,0.4072787427626137,0.5647425014148274,0.4175010175010175,0.4384025935750073,0.5600250626566415,0.625
11,5e-05,8,4,256,0.04757049262259338,0.0,0.5855263157894737,0.3844797178130512,0.5334168755221387,0.3800629898190874,0.4127615679339817,0.5144936335565348,0.5855263157894737
12,1e-05,16,5,512,0.08326781960578375,0.1,0.5197368421052632,0.2486440194119326,0.3742919602746518,0.34009009009009006,0.3405540819333923,0.4577702702702703,0.5197368421052632
13,3e-05,16,3,256,0.08322598013952011,0.1,0.5394736842105263,0.289126559714795,0.42188291584576415,0.3784037558685445,0.35926908340701447,0.5035952557449963,0.5394736842105263
14,5e-05,16,4,512,0.06824955039749755,0.0,0.5657894736842105,0.3645833333333333,0.5091831140350876,0.3625730994152047,0.39552018862363686,0.492382271468144,0.5657894736842105
15,3e-05,8,5,256,0.0007362269751005513,0.2,0.5723684210526315,0.36537066993919787,0.5104253214058183,0.3750954927425516,0.39832007073386383,0.505679305214909,0.5723684210526315
16,5e-05,16,4,384,0.07807290310219679,0.2,0.5460526315789473,0.3441077441077441,0.48296119085592776,0.3527777777777778,0.37827880931329205,0.4773026315789474,0.5460526315789473
17,3e-05,8,4,384,0.013979699812765745,0.0,0.5460526315789473,0.34767820171546876,0.4866144398262737,0.3531073446327683,0.3797524314765694,0.47780999107939337,0.5460526315789473
18,1e-05,8,5,384,0.05652361064811889,0.1,0.5328947368421053,0.3293939393939394,0.46522727272727277,0.338615664845173,0.3667845564397288,0.4598863963186655,0.5328947368421053
19,1e-05,16,4,384,0.05535794006579958,0.0,0.5,0.22320117474302495,0.3436123348017621,0.17002237136465326,0.3247863247863248,0.26174496644295303,0.5
20,3e-05,16,3,384,0.04367173892323624,0.0,0.5263157894736842,0.25297619047619047,0.3812265037593985,0.28919330289193307,0.3448275862068966,0.4013458303292478,0.5263157894736842
