transcript_col,model_type,embedding_dim,lstm_units,dropout,recurrent_dropout,dense_units,learning_rate,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_precision_weighted,std_precision_weighted,mean_recall_weighted,std_recall_weighted
Transcript_PFT,lstm,100,64,0.3,0.0,0,0.001,0.4711693548387097,0.06604045995991367,0.30478682832683046,0.09324808203855042,0.36969953208064255,0.08118608941334383,0.32275039178264986,0.14647635478097143,0.3980392156862745,0.0696822150175481,0.38963590303210494,0.1737961194378219,0.4711693548387097,0.06604045995991367
Transcript_PFT,lstm,100,64,0.3,0.0,64,0.001,0.4129032258064516,0.12393799639776583,0.27310126079094726,0.07831099321279876,0.361131349259372,0.10342065330378496,0.26844364789491293,0.07859471096383681,0.31016042780748665,0.09125502085550578,0.35400200124721176,0.11154593247931718,0.4129032258064516,0.12393799639776583
Transcript_PFT,lstm,100,128,0.3,0.0,0,0.001,0.47036290322580643,0.10912753519898459,0.25353989337413385,0.0719322771169343,0.3656901536542599,0.1151082371615466,0.27639984070091594,0.1443803512128254,0.32256387403446224,0.05354475831457722,0.37574946043858626,0.1869620559525744,0.47036290322580643,0.10912753519898459
Transcript_PFT,lstm,100,128,0.3,0.0,64,0.001,0.39455645161290326,0.07253470768493249,0.23081368304897715,0.04603259355105932,0.30740086826519464,0.060502319295356134,0.19799123878071248,0.059180155079180445,0.29493464052287577,0.045327309844377744,0.2608227979222249,0.06300868388659857,0.39455645161290326,0.07253470768493249
Transcript_PFT,lstm,200,64,0.3,0.0,0,0.001,0.47036290322580643,0.10912753519898459,0.3208005121240415,0.12422099050841286,0.4078490952832746,0.12833369383959953,0.3595526695526695,0.1987859985615142,0.3567364824717766,0.08958366639195219,0.4186009722804078,0.1672708909160224,0.47036290322580643,0.10912753519898459
Transcript_PFT,lstm,200,64,0.3,0.0,64,0.001,0.40625,0.1236431298908223,0.24870124741394034,0.07828493400890947,0.313251627098243,0.10878593644792214,0.2542660085013026,0.10972236464761477,0.326232917409388,0.073816245696746,0.31995886494119413,0.13342354195268596,0.40625,0.1236431298908223
Transcript_PFT,lstm,200,128,0.3,0.0,0,0.001,0.4582661290322581,0.07223709012984006,0.3572249482502781,0.06288948219262464,0.41658370772987097,0.04366860381589123,0.41117743029070264,0.1036141538923279,0.3867944147355912,0.0670378668725473,0.4509393370969792,0.04667622223641756,0.4582661290322581,0.07223709012984006
Transcript_PFT,lstm,200,128,0.3,0.0,64,0.001,0.47036290322580643,0.10912753519898459,0.2969830423845523,0.08770607527483035,0.37178785317528756,0.10773137348178444,0.31783717357910907,0.1865306736531825,0.3584521687462864,0.05039348412795563,0.3559585191516773,0.1588319584296303,0.47036290322580643,0.10912753519898459
Transcript_PFT,bilstm,100,64,0.3,0.0,0,0.001,0.4651209677419355,0.0273599926672377,0.32848159603105476,0.08679892506874938,0.4130658815019704,0.04297040772872135,0.33034780914237616,0.09767161326482615,0.37046939988116456,0.07270690647737589,0.4132974021843209,0.08155230524812995,0.4651209677419355,0.0273599926672377
Transcript_PFT,bilstm,100,64,0.3,0.0,64,0.001,0.44516129032258067,0.05802319878543826,0.30655697486257755,0.04825945826779015,0.4219954454150467,0.06645177067088383,0.30349469244206084,0.051783759213497205,0.32704991087344026,0.04386681823654142,0.42141956851156764,0.07188055161265873,0.44516129032258067,0.05802319878543826
Transcript_PFT,bilstm,100,128,0.3,0.0,0,0.001,0.4002016129032258,0.09740219620307389,0.2320212885823107,0.02941207405276132,0.325989735546667,0.047282323373170246,0.2625063856960409,0.11020230255403621,0.29092394533571003,0.05953199884852882,0.38343591645037695,0.15680303117298583,0.4002016129032258,0.09740219620307389
Transcript_PFT,bilstm,100,128,0.3,0.0,64,0.001,0.510483870967742,0.06407865792652757,0.3462773689855657,0.07147670772253163,0.45231282980149495,0.07124366053368962,0.3572128349547704,0.1034096590726855,0.3832961972667855,0.03871129982389451,0.4553662892489635,0.10201431962982199,0.510483870967742,0.06407865792652757
Transcript_PFT,bilstm,200,64,0.3,0.0,0,0.001,0.4641129032258065,0.0789452903659727,0.309760348583878,0.12843285985666109,0.3798337022981236,0.09870387505157516,0.32248120300751876,0.19572922962780429,0.36348781937017227,0.1009198336878175,0.3743079472875738,0.14449656685611756,0.4641129032258065,0.0789452903659727
