transcript_col,model_type,embedding_dim,lstm_units,dropout,recurrent_dropout,dense_units,learning_rate,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_precision_weighted,std_precision_weighted,mean_recall_weighted,std_recall_weighted
Transcript_PFT,lstm,100,16,0.3,0.0,0,0.001,0.4651209677419355,0.06386261757082057,0.299311982752124,0.06359217239475438,0.3952987938655966,0.07221812494193333,0.34217813051146384,0.09446450630635221,0.34834373143196673,0.05730979671165994,0.4562741348779655,0.13501108585928892,0.4651209677419355,0.06386261757082057
Transcript_PFT,lstm,100,16,0.3,0.0,0,0.0005,0.4711693548387097,0.018779243584185517,0.32337528712357716,0.09696824980064084,0.39676221052897936,0.04852694726968363,0.3529191396838456,0.1883641938675995,0.3764854426619132,0.07092834331799515,0.3982012601171757,0.1305348629953379,0.4711693548387097,0.018779243584185517
Transcript_PFT,lstm,100,16,0.3,0.0,64,0.001,0.4959677419354839,0.07075722533822985,0.29798955253011195,0.0774588504551333,0.3900261235597856,0.09821184250427693,0.33299283154121867,0.15639324891947853,0.3723336304218657,0.0374110172067943,0.4159280697190426,0.18640274106062438,0.4959677419354839,0.07075722533822985
Transcript_PFT,lstm,100,16,0.3,0.0,64,0.0005,0.4076612903225807,0.06539720946036545,0.2581951951951952,0.02263036198329428,0.35961905799809024,0.04544575397118025,0.2958677488089253,0.06348435239098592,0.2978163992869875,0.028019998682214647,0.42331418713060076,0.07844136138117686,0.4076612903225807,0.06539720946036545
Transcript_PFT,lstm,100,16,0.3,0.1,0,0.001,0.4268145161290323,0.06644544678563898,0.28273405178885186,0.06138583155795201,0.3858126576016386,0.07774988706782004,0.29123077566555833,0.06810079274585269,0.3214572192513369,0.062391219563821036,0.40809537559020387,0.09102851182806285,0.4268145161290323,0.06644544678563898
Transcript_PFT,lstm,100,16,0.3,0.1,0,0.0005,0.38004032258064513,0.1501278504742984,0.3127939755468709,0.10565363259864602,0.3521908355332325,0.15378809020535023,0.33314320220841964,0.12836493271292002,0.387448009506833,0.05420561930674225,0.38172902057036,0.1554308824186215,0.38004032258064513,0.1501278504742984
Transcript_PFT,lstm,100,16,0.3,0.1,64,0.001,0.4590725806451613,0.07923053633301408,0.25122852187671585,0.08040870907781986,0.32646533857317606,0.10383838544818362,0.2379358514842386,0.13182631759383065,0.34910130718954246,0.05214671588687364,0.2994890360824284,0.1513273348410167,0.4590725806451613,0.07923053633301408
Transcript_PFT,lstm,100,16,0.3,0.1,64,0.0005,0.4457661290322581,0.04401630338385545,0.2908993498238349,0.0710792099517047,0.387806428764759,0.04201994868171471,0.30633195307108346,0.11284394411359076,0.32640374331550803,0.06454620399704289,0.3973307161223535,0.08725119318386024,0.4457661290322581,0.04401630338385545
Transcript_PFT,lstm,100,16,0.3,0.2,0,0.001,0.4143145161290323,0.05574879316762113,0.31336693365678875,0.08267137659154002,0.3623882259953438,0.08255862607224793,0.3711194240542066,0.15383633560673346,0.36118538324420674,0.03838309536788511,0.410034095462742,0.1355235536171403,0.4143145161290323,0.05574879316762113
Transcript_PFT,lstm,100,16,0.3,0.2,0,0.0005,0.4133064516129032,0.08952838843689871,0.2646826069433256,0.05235891556863584,0.36020928913745054,0.060148889458631886,0.2689385250764561,0.07557358072303756,0.31662953060011884,0.06997591658059893,0.3649309090983174,0.07996036294774524,0.4133064516129032,0.08952838843689871
