transcript_col,model_type,embedding_dim,lstm_units,dropout,recurrent_dropout,dense_units,learning_rate,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro
Transcript_PFT,lstm,100,16,0.3,0.0,0,0.001,0.5473790322580645,0.09325005440042156,0.5067303842303843,0.13469634136265318,0.5105630444340121,0.1296978103983794,0.5010176651305683,0.163884435587039,0.5422549019607843,0.09402099433642054
Transcript_PFT,lstm,100,16,0.3,0.0,0,0.0005,0.5534274193548387,0.10330079339091501,0.5050178677944284,0.14348479517718166,0.5084771339091491,0.13991717143642765,0.5364661654135338,0.135353554268868,0.5491421568627451,0.11031927136918868
Transcript_PFT,lstm,100,16,0.3,0.0,64,0.001,0.5802419354838709,0.08468221952600297,0.5047745031026765,0.13744602514912732,0.5102165814041313,0.13551350153500663,0.6658691899184259,0.12796482146060426,0.5711029411764705,0.08818001911077578
Transcript_PFT,lstm,100,16,0.3,0.0,64,0.0005,0.5026209677419354,0.1381923727774459,0.48477562900242227,0.1324854772828307,0.48299075848278133,0.13330715287540118,0.5210549173049173,0.1512483809952686,0.5070343137254902,0.13890758656822585
Transcript_PFT,lstm,100,16,0.3,0.1,0,0.001,0.5925403225806452,0.06259910197149697,0.5681208875691635,0.0918727943177997,0.5644406501976024,0.09752691506980073,0.6226120814051848,0.04549400768644953,0.6006862745098039,0.05346429043115778
Transcript_PFT,lstm,100,16,0.3,0.1,0,0.0005,0.5419354838709677,0.08193772618851983,0.48787171980637867,0.13968490348428805,0.4833490804037789,0.14865480099817424,0.5077135803540355,0.17133363627367743,0.5488235294117647,0.0678220310129025
Transcript_PFT,lstm,100,16,0.3,0.1,64,0.001,0.5167338709677419,0.0823953234961005,0.4343930380902868,0.13457509885060434,0.4272225094458542,0.14389395681906997,0.43594753384374696,0.19767465995808894,0.5275980392156863,0.06709457537958761
Transcript_PFT,lstm,100,16,0.3,0.1,64,0.0005,0.5606854838709677,0.06794683872572717,0.45500704757699995,0.13281213060147756,0.46371967629126204,0.12709789919913736,0.47430425641284923,0.20010645689079762,0.5474509803921569,0.07204795377867944
Transcript_PFT,lstm,100,128,0.3,0.0,0,0.001,0.5727822580645161,0.06985676170999984,0.5430698867197724,0.08389956229068811,0.5441856441459675,0.08531639723370889,0.5924265587241762,0.07581352035174113,0.5712745098039216,0.06440120634507165
Transcript_PFT,lstm,100,128,0.3,0.0,0,0.0005,0.5413306451612903,0.11317292097327569,0.4524844545614126,0.13203671748972828,0.4629378473058073,0.12827182418783173,0.5119421024377921,0.22198492176996668,0.5241176470588235,0.11292216886920878
Transcript_PFT,lstm,100,128,0.3,0.0,64,0.001,0.5675403225806451,0.08800235790817505,0.48525152066342,0.14741750943394874,0.4822509115147707,0.15058342486492213,0.6256708034057262,0.21190265728722915,0.573063725490196,0.08170152979108634
Transcript_PFT,lstm,100,128,0.3,0.0,64,0.0005,0.572983870967742,0.05938432685932257,0.49379926547022573,0.1431548262494738,0.5008504329455478,0.13566823833757646,0.47382881231671553,0.19647488903916596,0.562671568627451,0.06703630763783701
Transcript_PFT,lstm,100,128,0.3,0.1,0,0.001,0.5862903225806451,0.06523119977263421,0.540751181549054,0.12145733929121957,0.5452784059407259,0.1177631342816934,0.5462697659709045,0.17911062377679607,0.5786274509803921,0.06835833306793683
Transcript_PFT,lstm,100,128,0.3,0.1,0,0.0005,0.5225806451612903,0.05993365326729734,0.45758350014104493,0.09888073407044105,0.4594392400979883,0.10094210204999175,0.5188936525374157,0.19659434963207087,0.5199754901960785,0.05517864019453363
Transcript_PFT,lstm,100,128,0.3,0.1,64,0.001,0.5608870967741935,0.06613625427715643,0.4806122002164635,0.13692659695701864,0.48620017838384183,0.12948627417405045,0.46873607825339325,0.19868566634302,0.553578431372549,0.06990228735176586
Transcript_PFT,lstm,100,128,0.3,0.1,64,0.0005,0.5419354838709677,0.04612156809958462,0.48777591988727514,0.07692407665949252,0.4927382488759699,0.06954316944705867,0.5698369159576055,0.14410144215410092,0.5348284313725491,0.054457177215926265
Transcript_PFT,lstm,200,16,0.3,0.0,0,0.001,0.5608870967741935,0.14036660414355304,0.5264850427350426,0.1713566490972088,0.5251731803143094,0.1754606427462751,0.527515477205375,0.21129162764662807,0.5626960784313726,0.13475011738201756
Transcript_PFT,lstm,200,16,0.3,0.0,0,0.0005,0.5798387096774194,0.1041052975658276,0.5588372154161629,0.09589575938052515,0.5597827681656204,0.09986049671891631,0.6132212915908568,0.14289256661962693,0.5773284313725491,0.09441982453685736
Transcript_PFT,lstm,200,16,0.3,0.0,64,0.001,0.5796370967741935,0.056406592070716854,0.513530961021696,0.13471306110715828,0.5192311178620983,0.12564028721280782,0.5343683216533412,0.16287114859924445,0.5724264705882354,0.07029097052804104
Transcript_PFT,lstm,200,16,0.3,0.0,64,0.0005,0.5219758064516129,0.10591491662157533,0.49407830121078755,0.11511924101816488,0.498539884591272,0.11366355562477745,0.5167693744164332,0.1231581297080008,0.514656862745098,0.10634058687833088
Transcript_PFT,lstm,200,16,0.3,0.1,0,0.001,0.5213709677419355,0.14379219678821248,0.5024160277781791,0.16976501850190587,0.5041911173870725,0.16743807641248976,0.5006798245614036,0.1921007006487761,0.5194117647058822,0.14536681332638016
Transcript_PFT,lstm,200,16,0.3,0.1,0,0.0005,0.5741935483870967,0.08561607720281474,0.5588028573588983,0.08259039085736242,0.5557513307562053,0.08354112562707663,0.6139224174518292,0.1246430064669008,0.5822058823529412,0.08619711602169482
Transcript_PFT,lstm,200,16,0.3,0.1,64,0.001,0.5536290322580645,0.06714572379910522,0.4572750431939324,0.14438248569890658,0.45740378127757764,0.14343133998800217,0.5068310760405412,0.23905117286361005,0.5553921568627451,0.07073217936764631
Transcript_PFT,lstm,200,16,0.3,0.1,64,0.0005,0.5610887096774193,0.08459817720783738,0.5176277150319704,0.13064994156269685,0.5126126646751218,0.13916167425676546,0.5371228418267892,0.18506273295418094,0.5697794117647059,0.07515600764669604
